year,country,isocode,tasa_homicidio
2016,Albania,ALB,2.7261436
2017,Albania,ALB,2.0012128
2018,Albania,ALB,2.2803986
2019,Albania,ALB,2.2530255
2020,Albania,ALB,2.1239898
2021,Albania,ALB,2.3160856
2022,Albania,ALB,1.6975479
2023,Albania,ALB,1.3870834
2024,Albania,ALB,1.7551677
2006,Algeria,DZA,0.92792225
2007,Algeria,DZA,0.79264295
2008,Algeria,DZA,0.9420696
2009,Algeria,DZA,0.78049177
2010,Algeria,DZA,0.7018856
2011,Algeria,DZA,0.75873816
2012,Algeria,DZA,1.3892517
2013,Algeria,DZA,1.2495389
2014,Algeria,DZA,1.4717499
2015,Algeria,DZA,1.3643339
2016,Algeria,DZA,1.326782
2017,Algeria,DZA,1.2569172
2018,Algeria,DZA,1.3363123
2019,Algeria,DZA,1.1987653
2020,Algeria,DZA,1.4849432
2021,Algeria,DZA,1.5526875
2022,Algeria,DZA,1.7481215
2023,Algeria,DZA,1.1610724
2001,American Samoa,ASM,1.7527409
2002,American Samoa,ASM,12.267466
2003,American Samoa,ASM,5.2658834
2004,American Samoa,ASM,7.0400224
2005,American Samoa,ASM,10.597524
2006,American Samoa,ASM,7.0954065
2007,American Samoa,ASM,1.7821182
2008,American Samoa,ASM,5.3736477
2009,American Samoa,ASM,3.6017864
2010,American Samoa,ASM,9.053297
2011,American Samoa,ASM,9.108214
2012,American Samoa,ASM,3.6704657
2013,American Samoa,ASM,5.5549383
2014,American Samoa,ASM,5.6110425
2015,American Samoa,ASM,7.564583
2016,American Samoa,ASM,0
2017,American Samoa,ASM,13.569573
2018,American Samoa,ASM,25.53601
2019,American Samoa,ASM,0
2023,American Samoa,ASM,NA
2000,Americas (UN),NA,15.669752
2001,Americas (UN),NA,16.433233
2002,Americas (UN),NA,16.468653
2003,Americas (UN),NA,16.292685
2004,Americas (UN),NA,15.258952
2005,Americas (UN),NA,14.97699
2006,Americas (UN),NA,15.208517
2007,Americas (UN),NA,14.797566
2008,Americas (UN),NA,15.7205305
2009,Americas (UN),NA,16.424679
2010,Americas (UN),NA,16.709799
2011,Americas (UN),NA,16.916588
2012,Americas (UN),NA,17.037579
2013,Americas (UN),NA,16.523481
2014,Americas (UN),NA,16.257046
2015,Americas (UN),NA,15.98315
2016,Americas (UN),NA,16.698175
2017,Americas (UN),NA,16.97613
2018,Americas (UN),NA,16.273815
2019,Americas (UN),NA,15.011511
2020,Americas (UN),NA,15.020346
2021,Americas (UN),NA,15.159106
2022,Americas (UN),NA,14.878496
2023,Americas (UN),NA,14.446592
2004,Andorra,AND,1.3454423
2007,Andorra,AND,0
2008,Andorra,AND,1.1976837
2009,Andorra,AND,0
2010,Andorra,AND,0
2011,Andorra,AND,1.285628
2012,Andorra,AND,0
2013,Andorra,AND,0
2014,Andorra,AND,0
2015,Andorra,AND,0
2020,Andorra,AND,2.5846472
2023,Andorra,AND,NA
2011,Angola,AGO,4.3562007
2012,Angola,AGO,4.833701
2015,Angola,AGO,4.453473
2016,Angola,AGO,4.0982666
2023,Angola,AGO,NA
1990,Anguilla,AIA,0
1991,Anguilla,AIA,11.490951
1992,Anguilla,AIA,0
1993,Anguilla,AIA,10.836584
1994,Anguilla,AIA,0
1995,Anguilla,AIA,10.29442
1996,Anguilla,AIA,0
1997,Anguilla,AIA,9.752768
1998,Anguilla,AIA,0
1999,Anguilla,AIA,0
2000,Anguilla,AIA,8.947345
2001,Anguilla,AIA,0
2002,Anguilla,AIA,17.113764
2003,Anguilla,AIA,16.842813
2004,Anguilla,AIA,8.28672
2005,Anguilla,AIA,0
2006,Anguilla,AIA,40.09784
2007,Anguilla,AIA,31.555696
2008,Anguilla,AIA,7.7582526
2009,Anguilla,AIA,7.625729
2010,Anguilla,AIA,0
2011,Anguilla,AIA,0
2012,Anguilla,AIA,37.372
2013,Anguilla,AIA,7.546031
2014,Anguilla,AIA,29.136467
2023,Anguilla,AIA,NA
1990,Antigua and Barbuda,ATG,1.5856279
1991,Antigua and Barbuda,ATG,4.7328315
1992,Antigua and Barbuda,ATG,3.1053731
1993,Antigua and Barbuda,ATG,6.0987697
1994,Antigua and Barbuda,ATG,7.480271
1995,Antigua and Barbuda,ATG,10.26566
1996,Antigua and Barbuda,ATG,4.309633
1997,Antigua and Barbuda,ATG,1.4074001
2000,Antigua and Barbuda,ATG,6.674498
2001,Antigua and Barbuda,ATG,9.202171
2002,Antigua and Barbuda,ATG,6.490809
2003,Antigua and Barbuda,ATG,6.4198036
2004,Antigua and Barbuda,ATG,5.081333
2005,Antigua and Barbuda,ATG,3.768347
2006,Antigua and Barbuda,ATG,13.646965
2007,Antigua and Barbuda,ATG,20.806814
2008,Antigua and Barbuda,ATG,19.29757
2009,Antigua and Barbuda,ATG,19.00847
2010,Antigua and Barbuda,ATG,7.0323076
2012,Antigua and Barbuda,ATG,11.460005
2017,Antigua and Barbuda,ATG,22.107264
2018,Antigua and Barbuda,ATG,13.197545
2019,Antigua and Barbuda,ATG,3.283587
2020,Antigua and Barbuda,ATG,9.799011
2021,Antigua and Barbuda,ATG,17.32558
2022,Antigua and Barbuda,ATG,10.771219
2023,Antigua and Barbuda,ATG,10.716333
2001,Argentina,ARG,8.316318
2002,Argentina,ARG,9.3874860000000009
2003,Argentina,ARG,7.7216797
2004,Argentina,ARG,6.0233026
2005,Argentina,ARG,5.6047425
2006,Argentina,ARG,5.3278327
2007,Argentina,ARG,5.34526
2008,Argentina,ARG,5.865306
2009,Argentina,ARG,6.4667993
2010,Argentina,ARG,5.7739778
2011,Argentina,ARG,6.0171585
2012,Argentina,ARG,6.2805786
2013,Argentina,ARG,7.2142386
2014,Argentina,ARG,7.5027766
2015,Argentina,ARG,6.5252876
2016,Argentina,ARG,5.979456
2017,Argentina,ARG,5.2315598
2018,Argentina,ARG,5.338722
2019,Argentina,ARG,5.131915
2020,Argentina,ARG,5.3527217
2021,Argentina,ARG,4.6212635
2022,Argentina,ARG,4.3120246
2023,Argentina,ARG,4.4929113
1990,Armenia,ARM,5.011081
1991,Armenia,ARM,5.1466856
1992,Armenia,ARM,8.538965
1993,Armenia,ARM,7.7606196
1994,Armenia,ARM,4.666217
1995,Armenia,ARM,3.5070941
1996,Armenia,ARM,3.4769502
1997,Armenia,ARM,3.0804405
1998,Armenia,ARM,2.8986402
1999,Armenia,ARM,2.8415496
2000,Armenia,ARM,2.9114144
2001,Armenia,ARM,2.8531137
2002,Armenia,ARM,2.2581267
2004,Armenia,ARM,2.746034
2005,Armenia,ARM,1.9292492
2006,Armenia,ARM,2.6418073
2007,Armenia,ARM,2.5883927
2008,Armenia,ARM,3.277038
2009,Armenia,ARM,3.2931406
2010,Armenia,ARM,1.9105599
2011,Armenia,ARM,2.4287865
2012,Armenia,ARM,2.2241023
2013,Armenia,ARM,2.1556754
2014,Armenia,ARM,2.4637098
2015,Armenia,ARM,2.567458
2016,Armenia,ARM,2.9806848
2017,Armenia,ARM,2.4014022
2018,Armenia,ARM,1.7182341
2019,Armenia,ARM,2.5137987
2020,Armenia,ARM,2.5943546
2021,Armenia,ARM,3.1355078
2022,Armenia,ARM,2.7422228
2023,Armenia,ARM,2.2083356
1990,Aruba,ABW,0
1995,Aruba,ABW,7.903264
1999,Aruba,ABW,2.3129008
2001,Aruba,ABW,4.429434
2002,Aruba,ABW,5.4717464
2003,Aruba,ABW,4.333225
2004,Aruba,ABW,2.145635
2005,Aruba,ABW,6.3673987
2006,Aruba,ABW,5.2415023
2007,Aruba,ABW,3.106008
2008,Aruba,ABW,5.1122394
2009,Aruba,ABW,4.0393634
2010,Aruba,ABW,3.995465
2011,Aruba,ABW,1.9805706
2012,Aruba,ABW,3.9306824
2013,Aruba,ABW,5.8503766
2014,Aruba,ABW,1.9347506
2023,Aruba,ABW,NA
2000,Asia (UN),NA,3.3560338
2001,Asia (UN),NA,3.2740397
2002,Asia (UN),NA,3.1876597
2003,Asia (UN),NA,3.1007025
2004,Asia (UN),NA,3.096954
2005,Asia (UN),NA,2.95053
2006,Asia (UN),NA,2.8604383
2007,Asia (UN),NA,2.7941086
2008,Asia (UN),NA,2.7645633
2009,Asia (UN),NA,2.7310646
2010,Asia (UN),NA,2.667075
2011,Asia (UN),NA,2.7089393
2012,Asia (UN),NA,2.6900072
2013,Asia (UN),NA,2.6238906
2014,Asia (UN),NA,2.5960221
2015,Asia (UN),NA,2.3848562
2016,Asia (UN),NA,2.303022
2017,Asia (UN),NA,2.192995
2018,Asia (UN),NA,2.1035058
2019,Asia (UN),NA,2.0281272
2020,Asia (UN),NA,1.9880732
2021,Asia (UN),NA,2.2564127
2022,Asia (UN),NA,1.93977
2023,Asia (UN),NA,1.9795915
1990,Australia,AUS,2.1837761
1991,Australia,AUS,1.9592936
1992,Australia,AUS,1.7151692
1993,Australia,AUS,1.8789239
1994,Australia,AUS,1.7879659
1995,Australia,AUS,1.9673568
1996,Australia,AUS,1.9338653
1997,Australia,AUS,1.9670452
1998,Australia,AUS,1.7859323
1999,Australia,AUS,2.0359619
2000,Australia,AUS,1.8920714
2001,Australia,AUS,1.7918525
2002,Australia,AUS,1.8677896
2003,Australia,AUS,1.5237553
2004,Australia,AUS,1.3119382
2005,Australia,AUS,1.2762085
2006,Australia,AUS,1.364703
2007,Australia,AUS,1.2169195
2008,Australia,AUS,1.2213047
2009,Australia,AUS,1.2073629
2010,Australia,AUS,1.043286
2011,Australia,AUS,1.1032139
2012,Australia,AUS,1.0633343
2013,Australia,AUS,1.054386
2014,Australia,AUS,1.029853
2015,Australia,AUS,0.98546845
2016,Australia,AUS,0.9330059
2017,Australia,AUS,0.84104836
2018,Australia,AUS,0.8797874
2019,Australia,AUS,0.8829515
2020,Australia,AUS,0.8584594
2021,Australia,AUS,0.74355406
2022,Australia,AUS,0.8396631
2023,Australia,AUS,0.85440606
2000,Australia and New Zealand (UN),NA,1.8007795
2001,Australia and New Zealand (UN),NA,1.7112983
2002,Australia and New Zealand (UN),NA,1.8091881
2003,Australia and New Zealand (UN),NA,1.451218
2004,Australia and New Zealand (UN),NA,1.2763883
2005,Australia and New Zealand (UN),NA,1.3098919
2006,Australia and New Zealand (UN),NA,1.3321223
2007,Australia and New Zealand (UN),NA,1.2034404
2008,Australia and New Zealand (UN),NA,1.2172089
2009,Australia and New Zealand (UN),NA,1.2649826
2010,Australia and New Zealand (UN),NA,1.0343779
2011,Australia and New Zealand (UN),NA,1.0684049
2012,Australia and New Zealand (UN),NA,1.0416545
2013,Australia and New Zealand (UN),NA,1.0509163
2014,Australia and New Zealand (UN),NA,1.017121
2015,Australia and New Zealand (UN),NA,0.99432707
2016,Australia and New Zealand (UN),NA,0.9537013
2017,Australia and New Zealand (UN),NA,0.82250786
2018,Australia and New Zealand (UN),NA,0.9193702
2019,Australia and New Zealand (UN),NA,1.1124924
2020,Australia and New Zealand (UN),NA,0.88596994
2021,Australia and New Zealand (UN),NA,0.8466361
2022,Australia and New Zealand (UN),NA,0.9989557
2023,Australia and New Zealand (UN),NA,0.9094511
1990,Austria,AUT,1.1589109
1991,Austria,AUT,1.327809
1992,Austria,AUT,1.236817
1993,Austria,AUT,1.0116984
1994,Austria,AUT,1.10857
1995,Austria,AUT,0.9810924
1996,Austria,AUT,1.2435757
1997,Austria,AUT,0.82812583
1998,Austria,AUT,0.96509784
1999,Austria,AUT,0.75057304
2000,Austria,AUT,1.0233463
2001,Austria,AUT,0.8704051
2002,Austria,AUT,0.80429256
2003,Austria,AUT,0.6155663
2004,Austria,AUT,0.7218458
2005,Austria,AUT,0.6561995
2006,Austria,AUT,0.73761487
2007,Austria,AUT,0.5423679
2008,Austria,AUT,0.69684297
2009,Austria,AUT,0.6111396
2010,Austria,AUT,0.7292209
2011,Austria,AUT,0.9174017
2012,Austria,AUT,0.96067166
2013,Austria,AUT,0.71922034
2014,Austria,AUT,0.49135348
2015,Austria,AUT,0.50902134
2016,Austria,AUT,0.61799634
2017,Austria,AUT,0.79556507
2018,Austria,AUT,0.97266906
2019,Austria,AUT,0.8670316
2020,Austria,AUT,0.72858477
2021,Austria,AUT,0.72487557
2022,Austria,AUT,0.8715148
2023,Austria,AUT,0.876191
2023,Austria-Hungary,OWID_AUH,NA
1990,Azerbaijan,AZE,4.549806
1991,Azerbaijan,AZE,4.8808446
1992,Azerbaijan,AZE,7.615673
1993,Azerbaijan,AZE,6.369838
1994,Azerbaijan,AZE,6.5581155
1995,Azerbaijan,AZE,5.738876
1996,Azerbaijan,AZE,5.1079164
1997,Azerbaijan,AZE,3.5785291
1998,Azerbaijan,AZE,3.4887471
1999,Azerbaijan,AZE,2.9874804
2000,Azerbaijan,AZE,2.7645986
2001,Azerbaijan,AZE,2.6418574
2002,Azerbaijan,AZE,2.5461998
2007,Azerbaijan,AZE,2.1408398
2008,Azerbaijan,AZE,2.1470172
2010,Azerbaijan,AZE,2.2521412
2011,Azerbaijan,AZE,2.2795656
2012,Azerbaijan,AZE,2.1543953
2013,Azerbaijan,AZE,2.3252366
2014,Azerbaijan,AZE,2.4503853
2015,Azerbaijan,AZE,2.1634703
2016,Azerbaijan,AZE,1.7125322
2017,Azerbaijan,AZE,1.8257494
2018,Azerbaijan,AZE,1.9621935
2019,Azerbaijan,AZE,1.661643
2020,Azerbaijan,AZE,2.1509116
2021,Azerbaijan,AZE,1.7001535
2022,Azerbaijan,AZE,1.7872226
2023,Azerbaijan,AZE,2.1612282
2024,Azerbaijan,AZE,1.9929228
1990,Bahamas,BHS,16.307627
1991,Bahamas,BHS,9.973961
1992,Bahamas,BHS,14.339324
1993,Bahamas,BHS,12.013475
1994,Bahamas,BHS,17.53741
1995,Bahamas,BHS,13.268715
1996,Bahamas,BHS,16.652082
1997,Bahamas,BHS,14.795588
2000,Bahamas,BHS,22.851143
2001,Bahamas,BHS,13.116314
2002,Bahamas,BHS,15.680882
2003,Bahamas,BHS,14.897912
2004,Bahamas,BHS,12.949479
2005,Bahamas,BHS,15.120938
2006,Bahamas,BHS,17.509867
2007,Bahamas,BHS,22.0754
2008,Bahamas,BHS,20.384201
2009,Bahamas,BHS,23.979494
2010,Bahamas,BHS,25.579798
2011,Bahamas,BHS,34.164673
2012,Bahamas,BHS,29.296654
2013,Bahamas,BHS,31.402311
2014,Bahamas,BHS,31.912277
2015,Bahamas,BHS,37.887978
2016,Bahamas,BHS,28.604156
2017,Bahamas,BHS,31.243198
2018,Bahamas,BHS,23.171873
2019,Bahamas,BHS,24.070469
2020,Bahamas,BHS,18.440746
2021,Bahamas,BHS,30.022226
2022,Bahamas,BHS,32.19814
2023,Bahamas,BHS,NA
1995,Bahrain,BHR,0.8428548
1996,Bahrain,BHR,1.3145074
1997,Bahrain,BHR,0.96153075
2001,Bahrain,BHR,1.285796
2002,Bahrain,BHR,1.0635505
2007,Bahrain,BHR,0.37828457
2008,Bahrain,BHR,0.5353732
2009,Bahrain,BHR,1.098339
2010,Bahrain,BHR,0.1648473
2011,Bahrain,BHR,0.9944246
2012,Bahrain,BHR,0.7399472
2013,Bahrain,BHR,0.87495816
2014,Bahrain,BHR,0.6855325
2015,Bahrain,BHR,0.21903406
2016,Bahrain,BHR,0.27979776
2017,Bahrain,BHR,0.40485966
2018,Bahrain,BHR,0.33386183
2019,Bahrain,BHR,0.2692387
2020,Bahrain,BHR,0
2021,Bahrain,BHR,0.06658838
2022,Bahrain,BHR,0.19563614
2023,Bahrain,BHR,NA
2000,Bangladesh,BGD,2.4846835
2001,Bangladesh,BGD,2.6884823
2002,Bangladesh,BGD,2.5213473
2003,Bangladesh,BGD,2.46222
2004,Bangladesh,BGD,2.7305262
2005,Bangladesh,BGD,2.4821064
2006,Bangladesh,BGD,2.8455124
2007,Bangladesh,BGD,2.6103241
2008,Bangladesh,BGD,2.742278
2009,Bangladesh,BGD,2.7963784
2010,Bangladesh,BGD,2.6202023
2011,Bangladesh,BGD,2.5821812
2012,Bangladesh,BGD,2.6529937
2013,Bangladesh,BGD,2.8064523
2014,Bangladesh,BGD,2.8575964
2015,Bangladesh,BGD,2.5316348
2016,Bangladesh,BGD,2.2330432
2017,Bangladesh,BGD,2.1882265
2018,Bangladesh,BGD,2.3421767
2023,Bangladesh,BGD,NA
1990,Barbados,BRB,13.148659
1991,Barbados,BRB,8.096463
1992,Barbados,BRB,8.452874
1993,Barbados,BRB,8.045145
1994,Barbados,BRB,7.644661
1995,Barbados,BRB,6.4875717
1998,Barbados,BRB,7.620906
1999,Barbados,BRB,8.761321
2000,Barbados,BRB,7.6317525
2001,Barbados,BRB,9.526513
2002,Barbados,BRB,9.4643910000000009
2003,Barbados,BRB,12.4164715
2004,Barbados,BRB,8.230515
2005,Barbados,BRB,10.792464
2006,Barbados,BRB,12.962891
2007,Barbados,BRB,9.2152815
2008,Barbados,BRB,8.433728
2009,Barbados,BRB,6.9312077
2010,Barbados,BRB,11.262754
2011,Barbados,BRB,9.777684
2012,Barbados,BRB,7.944031
2013,Barbados,BRB,8.643509
2014,Barbados,BRB,8.981563
2015,Barbados,BRB,11.111509
2016,Barbados,BRB,7.868454
2017,Barbados,BRB,10.7077465
2018,Barbados,BRB,9.9746895
2019,Barbados,BRB,17.069246
2020,Barbados,BRB,14.554594
2021,Barbados,BRB,11.341626
2022,Barbados,BRB,15.231051
2023,Barbados,BRB,NA
1990,Belarus,BLR,4.9871097
1991,Belarus,BLR,4.5615563
1992,Belarus,BLR,5.81352
1993,Belarus,BLR,7.3818607
1994,Belarus,BLR,8.103469
1995,Belarus,BLR,9.414105
1996,Belarus,BLR,9.543461
1997,Belarus,BLR,10.086576
1998,Belarus,BLR,10.277188
1999,Belarus,BLR,9.701946
2000,Belarus,BLR,10.138807
2001,Belarus,BLR,9.750389
2002,Belarus,BLR,10.016763
2007,Belarus,BLR,6.7864785
2008,Belarus,BLR,5.7926254
2009,Belarus,BLR,5.1223598
2010,Belarus,BLR,4.225166
2011,Belarus,BLR,3.9376168
2012,Belarus,BLR,3.592912
2013,Belarus,BLR,3.5184283
2014,Belarus,BLR,3.589259
2015,Belarus,BLR,3.436175
2016,Belarus,BLR,3.2318976
2017,Belarus,BLR,2.527436
2018,Belarus,BLR,2.3839583
2019,Belarus,BLR,2.3846316
2023,Belarus,BLR,NA
1990,Belgium,BEL,1.0407836
1991,Belgium,BEL,1.0224286
1992,Belgium,BEL,1.2039715
1993,Belgium,BEL,1.4349035
1994,Belgium,BEL,1.186239
1995,Belgium,BEL,1.4007723
1996,Belgium,BEL,1.1814548
1997,Belgium,BEL,1.4241567
2000,Belgium,BEL,2.0679462
2001,Belgium,BEL,2.7413228
2002,Belgium,BEL,3.0872045
2021,Belgium,BEL,1.0803015
2023,Belgium,BEL,NA
2000,Belize,BLZ,17.02665
2001,Belize,BLZ,25.767126
2002,Belize,BLZ,33.983246
2003,Belize,BLZ,25.399954
2004,Belize,BLZ,29.077417
2005,Belize,BLZ,28.956442
2006,Belize,BLZ,31.957926
2007,Belize,BLZ,32.759205
2008,Belize,BLZ,33.841335
2009,Belize,BLZ,31.02868
2010,Belize,BLZ,40.28166
2011,Belize,BLZ,37.885963
2012,Belize,BLZ,43.35943
2013,Belize,BLZ,28.978973
2014,Belize,BLZ,35.25138
2015,Belize,BLZ,33.39573
2016,Belize,BLZ,37.838802
2017,Belize,BLZ,38.04915
2018,Belize,BLZ,37.60916
2019,Belize,BLZ,34.730457
2020,Belize,BLZ,26.099539
2021,Belize,BLZ,31.617834
2022,Belize,BLZ,28.058292
2023,Belize,BLZ,NA
2023,Benin,BEN,NA
1990,Bermuda,BMU,1.7373629
1991,Bermuda,BMU,5.173841
1992,Bermuda,BMU,1.7121089
1993,Bermuda,BMU,5.100696
1994,Bermuda,BMU,10.136163
1996,Bermuda,BMU,6.6875095
1997,Bermuda,BMU,3.323529
1998,Bermuda,BMU,0
1999,Bermuda,BMU,3.2720103
2000,Bermuda,BMU,0
2001,Bermuda,BMU,4.8490725
2002,Bermuda,BMU,1.6092046
2003,Bermuda,BMU,3.2058475
2004,Bermuda,BMU,1.5985932
2005,Bermuda,BMU,3.189233
2006,Bermuda,BMU,4.7745233
2007,Bermuda,BMU,4.7611866
2008,Bermuda,BMU,7.898957
2009,Bermuda,BMU,9.439157
2010,Bermuda,BMU,10.984613
2011,Bermuda,BMU,12.552465
2012,Bermuda,BMU,9.427144
2013,Bermuda,BMU,7.864912
2014,Bermuda,BMU,6.296337
2015,Bermuda,BMU,6.3028355
2016,Bermuda,BMU,12.608651
2017,Bermuda,BMU,7.8642936
2018,Bermuda,BMU,7.8331847
2019,Bermuda,BMU,0
2020,Bermuda,BMU,10.872604
2021,Bermuda,BMU,10.8278675
2022,Bermuda,BMU,13.899936
2023,Bermuda,BMU,6.1825714
1990,Bhutan,BTN,3.393932
1991,Bhutan,BTN,2.000722
1992,Bhutan,BTN,4.6731076
1993,Bhutan,BTN,3.4254448
1994,Bhutan,BTN,3.6068692
1995,Bhutan,BTN,2.9197667
1996,Bhutan,BTN,2.1866546
1997,Bhutan,BTN,1.2529163
1998,Bhutan,BTN,1.9317393
1999,Bhutan,BTN,2.231457
2000,Bhutan,BTN,3.0157673
2001,Bhutan,BTN,3.1107025
2002,Bhutan,BTN,3.0428798
2003,Bhutan,BTN,0.78411263
2004,Bhutan,BTN,2.3057609
2005,Bhutan,BTN,1.6619691
2006,Bhutan,BTN,1.3416826
2007,Bhutan,BTN,2.0629463
2008,Bhutan,BTN,2.622563
2009,Bhutan,BTN,2.3055153
2010,Bhutan,BTN,2.2803977
2011,Bhutan,BTN,4.5110006
2012,Bhutan,BTN,4.600717
2013,Bhutan,BTN,3.3090987
2015,Bhutan,BTN,1.6202685
2016,Bhutan,BTN,1.2034241
2017,Bhutan,BTN,1.7233734
2018,Bhutan,BTN,1.1845862
2019,Bhutan,BTN,1.0459923
2020,Bhutan,BTN,2.4675133
2023,Bhutan,BTN,NA
2015,Bolivia,BOL,4.9297733
2016,Bolivia,BOL,5.7423873
2017,Bolivia,BOL,6.5846376
2018,Bolivia,BOL,4.987675
2019,Bolivia,BOL,4.2582774
2020,Bolivia,BOL,3.6221154
2021,Bolivia,BOL,3.501612
2022,Bolivia,BOL,4.0158467
2023,Bolivia,BOL,4.418433
2023,Bonaire Sint Eustatius and Saba,BES,NA
1990,Bosnia and Herzegovina,BIH,1.6409465
2000,Bosnia and Herzegovina,BIH,2.3799384
2001,Bosnia and Herzegovina,BIH,1.9619863
2002,Bosnia and Herzegovina,BIH,2.1489959
2004,Bosnia and Herzegovina,BIH,1.6421206
2007,Bosnia and Herzegovina,BIH,1.6444811
2008,Bosnia and Herzegovina,BIH,1.6719254
2009,Bosnia and Herzegovina,BIH,1.8299941
2010,Bosnia and Herzegovina,BIH,1.4692488
2011,Bosnia and Herzegovina,BIH,1.3629813
2012,Bosnia and Herzegovina,BIH,1.7165681
2013,Bosnia and Herzegovina,BIH,1.2739351
2014,Bosnia and Herzegovina,BIH,1.4025918
2015,Bosnia and Herzegovina,BIH,1.6199899
2016,Bosnia and Herzegovina,BIH,1.2957087
2017,Bosnia and Herzegovina,BIH,1.2249603
2018,Bosnia and Herzegovina,BIH,1.1514615
2019,Bosnia and Herzegovina,BIH,1.2554053
2020,Bosnia and Herzegovina,BIH,1.3032873
2021,Bosnia and Herzegovina,BIH,0.98616064
2022,Bosnia and Herzegovina,BIH,1.0921111
2023,Bosnia and Herzegovina,BIH,1.2244617
2001,Botswana,BWA,12.439743
2002,Botswana,BWA,14.61517
2003,Botswana,BWA,17.570175
2004,Botswana,BWA,14.331991
2005,Botswana,BWA,15.816275
2006,Botswana,BWA,13.923591
2007,Botswana,BWA,14.650474000000001
2008,Botswana,BWA,14.410475
2009,Botswana,BWA,14.517703
2010,Botswana,BWA,14.903273
2020,Botswana,BWA,9.34108
2021,Botswana,BWA,11.368176
2023,Botswana,BWA,NA
1990,Brazil,BRA,19.646343
1991,Brazil,BRA,18.552387
1992,Brazil,BRA,16.83152
1993,Brazil,BRA,17.865892
1994,Brazil,BRA,18.743233
1995,Brazil,BRA,21.022089
1996,Brazil,BRA,23.6866
1997,Brazil,BRA,24.30493
1998,Brazil,BRA,24.799057
1999,Brazil,BRA,25.002106
2000,Brazil,BRA,26.074846
2001,Brazil,BRA,27.20061
2002,Brazil,BRA,27.848196
2003,Brazil,BRA,28.271088
2004,Brazil,BRA,26.491837
2005,Brazil,BRA,25.769392
2006,Brazil,BRA,26.340307
2007,Brazil,BRA,25.314459
2008,Brazil,BRA,26.33593
2009,Brazil,BRA,26.791449
2010,Brazil,BRA,26.994568
2011,Brazil,BRA,26.747099
2012,Brazil,BRA,28.641361
2013,Brazil,BRA,28.640411
2014,Brazil,BRA,29.853794
2015,Brazil,BRA,28.850302
2016,Brazil,BRA,30.119362
2017,Brazil,BRA,31.161175
2018,Brazil,BRA,27.160616
2019,Brazil,BRA,21.24456
2020,Brazil,BRA,22.870605
2021,Brazil,BRA,21.742752
2022,Brazil,BRA,21.096361
2023,Brazil,BRA,20.575377
2023,British Indian Ocean Territory,IOT,NA
1990,British Virgin Islands,VGB,6.367602
1991,British Virgin Islands,VGB,0
1992,British Virgin Islands,VGB,0
1993,British Virgin Islands,VGB,0
1994,British Virgin Islands,VGB,0
1995,British Virgin Islands,VGB,11.211077
1996,British Virgin Islands,VGB,10.93703
1999,British Virgin Islands,VGB,5.0682955
2001,British Virgin Islands,VGB,4.808617
2002,British Virgin Islands,VGB,4.6664643
2003,British Virgin Islands,VGB,9.036077
2004,British Virgin Islands,VGB,17.482136
2006,British Virgin Islands,VGB,8.165598
2023,British Virgin Islands,VGB,NA
1996,Brunei,BRN,3.0173447
1997,Brunei,BRN,2.6200173
